label,count,category,method,confidence,details
viral infection,36,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
maximal prior disease extend,36,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
disease diagnosis,36,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
hours of infection,36,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
clinical information,36,Biospecimen Disease Condition,llm,MEDIUM,"This label is somewhat ambiguous, but it could refer to the disease condition or clinical status of the sample donor, which is a characteristic of the sample."
parasite,36,Biospecimen Disease Condition,llm,MEDIUM,"This label could refer to the presence of a parasite in the sample, which is a characteristic of the sample's disease condition."
years of disease,35,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
hours post fertilization,35,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: hours post infection (score: 0.773)
primary vs metastatic,35,Biospecimen Disease Condition,llm,HIGH,"This label refers to the disease condition of the biospecimen, specifically whether it is primary or metastatic."
nonunion type,35,Biospecimen Disease Condition,llm,HIGH,"Nonunion type refers to a specific type of bone fracture that fails to heal, indicating a disease condition."
disease subset,34,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
conditioned media type,34,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
conditioned media origin,34,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
Location tumor,34,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
Tumor type,34,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
Dead/Alive,34,Biospecimen Disease Condition,llm,HIGH,"This label refers to the status of the biospecimen, which can be an indicator of disease condition."
Location of distant metastasis,34,Biospecimen Disease Condition,llm,HIGH,"This label refers to the location of metastasis, which is a characteristic of the disease condition."
growth conditions,33,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
viral infected,33,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: viral infection (score: 0.828)
infectious,33,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: infection (score: 0.842)
isolate sensitivity,33,Biospecimen Disease Condition,llm,HIGH,"This label refers to the sensitivity of an isolate, which is related to the disease condition of the biospecimen."
sputum smear status,33,Biospecimen Disease Condition,llm,HIGH,"This label refers to the status of a sputum smear, which is a diagnostic test for diseases such as tuberculosis."
infection type,32,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
plasmodium falciparum infection status,32,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
water type,32,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer type (score: 0.762)
diffuse/limited,32,Biospecimen Disease Condition,llm,HIGH,"This label seems to describe a disease condition or subtype, which fits well with the Biospecimen Disease Condition category."
KIT mutation,32,Biospecimen Disease Condition,llm,HIGH,"This label seems to describe a specific genetic mutation, which could be related to a disease condition or subtype, fitting well with the Biospecimen Disease Condition category."
single or double infection,31,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
maternal health status,31,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: maternal disease status (score: 0.800)
antibody status,31,Biospecimen Disease Condition,llm,HIGH,"This label seems to describe the presence or absence of antibodies, which could be related to a disease condition or immune response, fitting well with the Biospecimen Disease Condition category."
lymphoma subtype,31,Biospecimen Disease Condition,llm,HIGH,"This label seems to describe a specific subtype of lymphoma, which fits well with the Biospecimen Disease Condition category."
single or double infected,30,Biospecimen Disease Condition,similarity,HIGH,Similar to: single or double infection (score: 0.902)
primary_recurrence,30,Biospecimen Disease Condition,llm,HIGH,primary_recurrence refers to a disease condition or status
neural tube defect,30,Biospecimen Disease Condition,llm,HIGH,neural tube defect refers to a disease condition or status
infection route,29,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
sofa_admission,29,Biospecimen Disease Condition,llm,MEDIUM,"This label seems to refer to a disease condition or severity score, but the exact meaning is unclear without more context."
affected status,29,Biospecimen Disease Condition,llm,MEDIUM,"This label seems to refer to whether the biospecimen is affected by a disease or condition, but the exact meaning is unclear without more context."
stress condition,28,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
pulmonary.disease,28,Biospecimen Disease Condition,keyword,LOW,pattern: .*disease.*
cancer.past,28,Biospecimen Disease Condition,keyword,LOW,pattern: .*cancer.*
active cancer,28,Biospecimen Disease Condition,keyword,HIGH,exact_match: cancer
cardiovascular.disease,28,Biospecimen Disease Condition,keyword,LOW,pattern: .*disease.*
skin phenotype,28,Biospecimen Disease Condition,llm,MEDIUM,"Skin phenotype could be related to a disease condition, but it's also possible that it refers to a normal characteristic of the biospecimen donor."
sum.risk.factors,28,Biospecimen Disease Condition,llm,MEDIUM,"Sum of risk factors could be related to the disease condition of the donor, but it's also possible that it refers to a general health metric."
psoriasis area-and-severity index,28,Biospecimen Disease Condition,llm,HIGH,This label explicitly refers to a disease condition (psoriasis) and a metric used to assess its severity.
hospitalization,27,Biospecimen Disease Condition,llm,HIGH,Indicates a disease condition or health status
follicular lymphoma grade,27,Biospecimen Disease Condition,llm,HIGH,Indicates a specific disease condition or diagnosis
psoriasis subtype,27,Biospecimen Disease Condition,llm,HIGH,Psoriasis subtype is a specific disease condition of the donor or sample.
oncologic diagnosis,26,Biospecimen Disease Condition,keyword,HIGH,exact_match: diagnosis
Scaling,26,Biospecimen Disease Condition,llm,MEDIUM,"Scaling could refer to the severity or progression of a disease condition, such as psoriasis."
skin score,26,Biospecimen Disease Condition,llm,MEDIUM,"Skin score could refer to the severity or progression of a disease condition, such as psoriasis."
previous severity,26,Biospecimen Disease Condition,llm,MEDIUM,"Previous severity could refer to the severity or progression of a disease condition, such as psoriasis."
Overall erythema,26,Biospecimen Disease Condition,llm,HIGH,Erythema is a disease condition characterized by redness of the skin
degree of infiltrate,26,Biospecimen Disease Condition,llm,HIGH,Infiltrate is a disease condition characterized by the presence of abnormal cells or substances in a tissue
pathological type,25,Biospecimen Disease Condition,llm,HIGH,Pathological type refers to the type of disease or abnormality present in a biospecimen
environmental condition,24,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
molecular condition,24,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
disease course,24,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
disease onset,24,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
tumor_size,24,Biospecimen Disease Condition,keyword,LOW,pattern: .*tumor.*
library outgrowth conditions,24,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
clone type,24,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer type (score: 0.762)
hours post-infection,24,Biospecimen Disease Condition,similarity,HIGH,Similar to: hours post infection (score: 0.950)
channel type,24,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer type (score: 0.783)
interaction status,24,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: infection status (score: 0.882)
pair status,24,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer status (score: 0.750)
fip status,24,Biospecimen Disease Condition,llm,HIGH,"FIP status refers to the presence or absence of feline infectious peritonitis, a disease condition"
mortality,24,Biospecimen Disease Condition,llm,HIGH,"This label refers to the state of being dead, which fits into the Biospecimen Disease Condition category as it describes the condition of the biospecimen."
gametocyte status,24,Biospecimen Disease Condition,llm,HIGH,"This label describes the disease condition of the biospecimen, specifically the presence or absence of gametocytes."
maternal disease status,23,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
medical history,23,Biospecimen Disease Condition,llm,HIGH,"This label describes the disease condition or medical history of the donor, which is a characteristic of the biospecimen."
histological subtype,23,Biospecimen Disease Condition,llm,HIGH,Histological subtype is a characteristic of the disease condition of the donor or sample.
disease condition,22,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
associated primary tumor no,22,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
tumor_site,22,Biospecimen Disease Condition,keyword,LOW,pattern: .*tumor.*
metastatic status,22,Biospecimen Disease Condition,llm,HIGH,Metastatic status is a characteristic of the disease condition of the donor or sample.
somatic mutation,21,Biospecimen Disease Condition,llm,HIGH,Somatic mutation is a type of disease condition or status
respiratory score,21,Biospecimen Disease Condition,llm,HIGH,Respiratory score is a measure of disease condition or status
Chief Disease,20,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
infection_state,20,Biospecimen Disease Condition,similarity,HIGH,Similar to: infection state (score: 0.933)
gastrointestinal involvement,20,Biospecimen Disease Condition,llm,HIGH,Gastrointestinal involvement is a type of disease condition or status
Death Cause,20,Biospecimen Disease Condition,llm,HIGH,Death cause is related to the disease condition of the donor.
Inflammation,20,Biospecimen Disease Condition,llm,HIGH,Inflammation is a disease condition.
ocular involvement,20,Biospecimen Disease Condition,llm,HIGH,ocular involvement is related to the disease condition of the donor.
vascular involvement,20,Biospecimen Disease Condition,llm,HIGH,vascular involvement is related to the disease condition of the donor.
genital ulcer,20,Biospecimen Disease Condition,llm,HIGH,genital ulcer is a disease condition.
arthritis,20,Biospecimen Disease Condition,llm,HIGH,arthritis is a disease condition.
At Risk,20,Biospecimen Disease Condition,llm,HIGH,At Risk is a condition or status of the donor or sample
oral ulcer,20,Biospecimen Disease Condition,llm,HIGH,oral ulcer is a disease condition of the donor or sample
molecular subtype/phenotypic state,20,Biospecimen Disease Condition,llm,HIGH,molecular subtype/phenotypic state is a disease condition or status of the donor or sample
erythema nodule,20,Biospecimen Disease Condition,llm,HIGH,erythema nodule is a disease condition of the donor or sample
tumor model,19,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
tumor origin,19,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
disease outcome,19,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
mechanical condition,18,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
reason for liver resection,18,Biospecimen Disease Condition,llm,HIGH,Reason for liver resection is related to the disease condition or medical reason for the biospecimen collection.
injury model,18,Biospecimen Disease Condition,llm,HIGH,Injury model is a condition or disease state of the biospecimen
febrile seizure,18,Biospecimen Disease Condition,llm,HIGH,Febrile seizure is a disease condition of the biospecimen
Wash Condition,17,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
Labeling Condition,17,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
location of tumors,16,Biospecimen Disease Condition,keyword,LOW,pattern: .*tumor.*
brain tumor region,16,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
initial tumor volume,16,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
ar or asthma,16,Biospecimen Disease Condition,llm,HIGH,"The label refers to a specific disease condition, asthma."
autism diagnostic,16,Biospecimen Disease Condition,llm,HIGH,"The label refers to a specific disease condition, autism."
alk mutation status,16,Biospecimen Disease Condition,llm,HIGH,"The label refers to a specific genetic mutation status, which is related to disease condition."
tumor class,15,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
disease classification,15,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
pulmonary cavitation,15,Biospecimen Disease Condition,llm,HIGH,"Pulmonary cavitation is a disease condition that affects the lungs, which is a characteristic of a biospecimen disease condition."
malignancy class,15,Biospecimen Disease Condition,llm,HIGH,"Malignancy class refers to the classification of a tumor or cancer, which is a characteristic of a biospecimen disease condition."
risk grade,15,Biospecimen Disease Condition,llm,HIGH,Likely refers to the severity or stage of a disease
glioma grade,15,Biospecimen Disease Condition,llm,HIGH,"Specifically refers to the grade or severity of glioma, a type of brain cancer"
disease in non-fip,14,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
brain tumor,14,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
vaccination status,14,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: infection status (score: 0.765)
immune infiltration,14,Biospecimen Disease Condition,llm,HIGH,"Immune infiltration is a condition or status of the biospecimen, indicating the presence of immune cells."
hind-limb paralysis,14,Biospecimen Disease Condition,llm,HIGH,"Hind-limb paralysis is a condition or status of the biospecimen, indicating a specific disease or disorder."
treatment condition,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
disease grade,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
tumor inoculation,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
original tumor,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
molarity of infection,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
duration of disease,12,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
type of insertion,12,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: site of infection (score: 0.765)
clinical manifestation,12,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: clinical condition (score: 0.750)
incubation period,12,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: infection period (score: 0.848)
rift valley fever virus,12,Biospecimen Disease Condition,llm,HIGH,"This label refers to a specific disease condition, which is a viral infection."
engraftment,12,Biospecimen Disease Condition,llm,HIGH,"This label refers to a specific biological process, which could be related to a disease condition."
interstitial pneumonia,12,Biospecimen Disease Condition,llm,HIGH,"This label refers to a specific disease condition, which is a type of lung infection."
seizures/month,12,Biospecimen Disease Condition,llm,HIGH,Seizures/month is a measure of disease condition or status.
surgical indication,12,Biospecimen Disease Condition,llm,HIGH,"Surgical indication refers to the medical reason for performing a surgical procedure, which is related to the disease condition of the biospecimen."
melanoma,12,Biospecimen Disease Condition,llm,HIGH,"Melanoma is a type of cancer, which is a disease condition"
major reason_for_surgery,12,Biospecimen Disease Condition,llm,MEDIUM,This label could be related to the disease condition or medical history of the patient
primary/ recurrent,11,Biospecimen Disease Condition,llm,HIGH,Primary/recurrent is a disease condition or status
metastatic/primary,11,Biospecimen Disease Condition,llm,HIGH,Metastatic/primary is a disease condition or status
recurrent/primary,11,Biospecimen Disease Condition,llm,HIGH,Indicates the disease condition of the donor or sample
genotype/disease state,10,Biospecimen Disease Condition,keyword,MEDIUM,keyword: disease state
viral inactivation,10,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: viral infection (score: 0.788)
infection rate,9,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
infection period,9,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
oxygen condition,9,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
conditioned medium,9,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
weight phenotype,9,Biospecimen Disease Condition,llm,MEDIUM,"Could be related to a disease condition or phenotype, but the connection is not clear without more context."
resistance profile,9,Biospecimen Disease Condition,llm,HIGH,"This label refers to the disease condition or status of the biospecimen, specifically its resistance profile."
embryo phenotype,9,Biospecimen Disease Condition,llm,HIGH,"This label refers to the disease condition or status of the biospecimen, specifically the phenotype of the embryo."
etiology,9,Biospecimen Disease Condition,llm,HIGH,"Etiology refers to the cause or origin of a disease, which is closely related to the disease condition of the donor or sample."
conditioned media source,8,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
growing media conditions,8,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
Disease state,8,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
disease feature,8,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
environmental factor,8,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: environmental condition (score: 0.791)
nes status,8,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer status (score: 0.783)
myopathic motor_unit_potentials,8,Biospecimen Disease Condition,llm,HIGH,"Myopathic motor_unit_potentials is a term that describes a specific disease condition or abnormality, which is related to the disease condition of the donor or sample."
mutation details,8,Biospecimen Disease Condition,llm,HIGH,Mutation details are related to the disease condition of the donor or sample.
cognitive impairment,8,Biospecimen Disease Condition,llm,HIGH,Cognitive impairment is a disease condition or status of the donor or sample.
site of_disease_onset,6,Biospecimen Disease Condition,keyword,LOW,pattern: .*disease.*
disease name,6,Biospecimen Disease Condition,keyword,HIGH,exact_match: disease
tumor position,6,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
zinc status,6,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: cancer status (score: 0.750)
round of selection,6,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: rounds of infection (score: 0.811)
distant metastasis,6,Biospecimen Disease Condition,llm,HIGH,Distant metastasis is a disease condition
tobacco use,6,Biospecimen Disease Condition,llm,MEDIUM,Tobacco use is a risk factor for disease
parental/ne-like state,6,Biospecimen Disease Condition,llm,MEDIUM,"This label seems to describe a condition or state of the biospecimen, but it's not entirely clear."
oocyst prevalence,6,Biospecimen Disease Condition,llm,MEDIUM,"This label seems to describe a condition or state of the biospecimen, but it's not entirely clear."
cancer predisposition,5,Biospecimen Disease Condition,keyword,HIGH,exact_match: cancer
original tumor type,5,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
post-symptom onset,5,Biospecimen Disease Condition,llm,HIGH,"Post-symptom onset refers to the time after symptoms of a disease have appeared, which is relevant to the disease condition of the biospecimen."
invasive behavior,5,Biospecimen Disease Condition,llm,HIGH,Invasive behavior is a characteristic of a disease condition
growth_condition,4,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
plasmodium infection,4,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
length of infection,4,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
responder status,4,Biospecimen Disease Condition,llm,MEDIUM,"Responder status could refer to the response of a patient or sample to a treatment, which is related to the disease condition."
molecular diagnosis,3,Biospecimen Disease Condition,keyword,HIGH,exact_match: diagnosis
experimental conditions,3,Biospecimen Disease Condition,keyword,LOW,pattern: .*condition.*
months post infection,3,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
reference lot,3,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: reference condition (score: 0.750)
reference cat,3,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: reference condition (score: 0.750)
histopathological diagnostic,3,Biospecimen Disease Condition,similarity,MEDIUM,Similar to: histological diagnosis (score: 0.840)
fibrosis,3,Biospecimen Disease Condition,llm,HIGH,"This label describes a disease condition, which is a characteristic of the biospecimen."
severity grade,3,Biospecimen Disease Condition,llm,HIGH,"Severity grade is a measure of the extent or severity of a disease or condition, which fits well with the Biospecimen Disease Condition category."
diffuse vs limited,3,Biospecimen Disease Condition,llm,HIGH,"Diffuse vs limited is a classification of disease extent or progression, which aligns with the Biospecimen Disease Condition category."
allergy,3,Biospecimen Disease Condition,llm,HIGH,"Allergy is a specific type of disease condition, making it a good fit for the Biospecimen Disease Condition category."
tumor who grade,2,Biospecimen Disease Condition,keyword,HIGH,exact_match: tumor
reference condition,2,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
test condition,2,Biospecimen Disease Condition,keyword,HIGH,exact_match: condition
rounds of infection,2,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
months_survival,2,Biospecimen Disease Condition,llm,HIGH,months_survival is a measure of disease progression or outcome
progression_status,2,Biospecimen Disease Condition,llm,HIGH,progression_status describes the disease condition or progression
months_progression,2,Biospecimen Disease Condition,llm,HIGH,"This label seems to describe the progression of a disease, which fits well with the Biospecimen Disease Condition category."
Infection Status,1,Biospecimen Disease Condition,keyword,HIGH,exact_match: infection
mitotic rate,1,Biospecimen Disease Condition,llm,MEDIUM,"This label seems to describe a characteristic of a disease or condition, but it could also be a feature of a biospecimen. Without more context, it's difficult to determine the best category."
positive Down screening risk,1,Biospecimen Disease Condition,llm,HIGH,"This label appears to describe a disease or condition, specifically a risk factor for Down syndrome, which fits well with the Biospecimen Disease Condition category."
genotype,46776,Biospecimen Organism,similarity,MEDIUM,Similar to: host genotype (score: 0.762)
strain,41490,Biospecimen Organism,keyword,HIGH,exact_match: strain
genotype/variation,6816,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse genotype/variation (score: 0.857)
strain background,2334,Biospecimen Organism,keyword,HIGH,exact_match: strain
organismpart,2192,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
organism part,2102,Biospecimen Organism,keyword,HIGH,exact_match: organism
cell organism,1508,Biospecimen Organism,keyword,HIGH,exact_match: organism
strain/background,1449,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
virus,1436,Biospecimen Organism,llm,HIGH,Virus is a type of organism
mouse strain,1292,Biospecimen Organism,keyword,HIGH,exact_match: strain
background strain,997,Biospecimen Organism,keyword,HIGH,exact_match: strain
infected with,898,Biospecimen Organism,similarity,MEDIUM,Similar to: infected host (score: 0.769)
mouse model,822,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
companion animals,804,Biospecimen Organism,llm,HIGH,Companion animals are a type of living biological system
agricultural animals,804,Biospecimen Organism,llm,HIGH,Agricultural animals are a type of living biological system
os,703,Biospecimen Organism,llm,LOW,"OS could be an abbreviation for organism or species, but it is unclear without more context"
os_status,656,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse status (score: 0.762)
strain description,638,Biospecimen Organism,keyword,HIGH,exact_match: strain
selection,567,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse selection (score: 0.750)
host,536,Biospecimen Organism,keyword,MEDIUM,keyword: host
origin,525,Biospecimen Organism,llm,HIGH,The term 'origin' often refers to the source or species of a biological sample.
source_organism,500,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
Strain,486,Biospecimen Organism,keyword,HIGH,exact_match: strain
pathogen,478,Biospecimen Organism,llm,HIGH,Pathogen is a type of organism
breed,443,Biospecimen Organism,llm,HIGH,"Breed is a characteristic of the biospecimen organism, describing the specific breed of animal from which the sample was taken."
strain/genotype,371,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
mouse number,369,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
mouse,354,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
parasite strain,322,Biospecimen Organism,keyword,HIGH,exact_match: strain
OrganismPart,300,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
OS status,297,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse status (score: 0.857)
virus strain,283,Biospecimen Organism,keyword,HIGH,exact_match: strain
genome/variation,266,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse genotype/variation (score: 0.750)
malaria strain,203,Biospecimen Organism,keyword,HIGH,exact_match: strain
couple number,188,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse number (score: 0.800)
bacterium,186,Biospecimen Organism,llm,HIGH,This label refers to a type of microorganism.
living,170,Biospecimen Organism,llm,HIGH,"Living refers to the organism being alive, which is a characteristic of the biospecimen organism."
strain name,160,Biospecimen Organism,keyword,HIGH,exact_match: strain
pathogens,138,Biospecimen Organism,similarity,MEDIUM,Similar to: pathogen strain (score: 0.750)
host cell,134,Biospecimen Organism,keyword,MEDIUM,keyword: host
mouse genotype/variation,124,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
immune status,113,Biospecimen Organism,similarity,MEDIUM,Similar to: mouse status (score: 0.800)
replicate mouse,102,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
litter,99,Biospecimen Organism,llm,HIGH,"Litter refers to a group of animals, likely the source of biospecimens"
viral strain,96,Biospecimen Organism,keyword,HIGH,exact_match: strain
parasite line,95,Biospecimen Organism,similarity,MEDIUM,Similar to: parasite strain (score: 0.786)
virus type,86,Biospecimen Organism,llm,HIGH,"This label refers to the type of virus, which is a characteristic of the biological organism being studied."
cattle breed,85,Biospecimen Organism,llm,HIGH,"This label refers to the breed of cattle, which is a characteristic of the biological organism being studied."
host genotype,84,Biospecimen Organism,keyword,MEDIUM,keyword: host
mouse line abbreviation,84,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
viral status,82,Biospecimen Organism,similarity,MEDIUM,Similar to: viral strain (score: 0.750)
infected host,79,Biospecimen Organism,keyword,MEDIUM,keyword: host
bacterial strain,79,Biospecimen Organism,keyword,HIGH,exact_match: strain
viral genus,78,Biospecimen Organism,llm,HIGH,"A viral genus is a classification of viruses, which fits into the category of Biospecimen Organism."
viral family,78,Biospecimen Organism,llm,HIGH,"A viral family is a classification of viruses, which fits into the category of Biospecimen Organism."
host strain,76,Biospecimen Organism,keyword,HIGH,exact_match: strain
mouse line,74,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
host mice strain,70,Biospecimen Organism,keyword,HIGH,exact_match: strain
parental origin,70,Biospecimen Organism,similarity,MEDIUM,Similar to: parental strain (score: 0.800)
host vendor,69,Biospecimen Organism,keyword,MEDIUM,keyword: host
host strain/background,69,Biospecimen Organism,keyword,MEDIUM,keyword: host
mouse selection,68,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
genotype/strain,62,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
mouse age,57,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
laboratory strain,54,Biospecimen Organism,keyword,HIGH,exact_match: strain
Genotype,52,Biospecimen Organism,similarity,MEDIUM,Similar to: host genotype (score: 0.762)
organism_status,51,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
recipient strain,51,Biospecimen Organism,keyword,HIGH,exact_match: strain
organism_part,51,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
infection strain,51,Biospecimen Organism,keyword,HIGH,exact_match: strain
strain info,50,Biospecimen Organism,keyword,HIGH,exact_match: strain
mosquito,48,Biospecimen Organism,llm,HIGH,"Mosquito is a living organism, so it fits well into the biospecimen organism category."
parental strain,46,Biospecimen Organism,keyword,HIGH,exact_match: strain
host cell line,45,Biospecimen Organism,keyword,MEDIUM,keyword: host
cell line / strain,45,Biospecimen Organism,keyword,HIGH,exact_match: strain
strain source,44,Biospecimen Organism,keyword,HIGH,exact_match: strain
host organism,44,Biospecimen Organism,keyword,HIGH,exact_match: organism
age and_strain,42,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
specificity,42,Biospecimen Organism,similarity,MEDIUM,Similar to: specific-host (score: 0.750)
specific,39,Biospecimen Organism,similarity,MEDIUM,Similar to: specific-host (score: 0.762)
host cell type,38,Biospecimen Organism,keyword,MEDIUM,keyword: host
Virus Strain,38,Biospecimen Organism,keyword,HIGH,exact_match: strain
Mouse model,36,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
strain  background,35,Biospecimen Organism,keyword,HIGH,exact_match: strain
host_cell_line,35,Biospecimen Organism,keyword,MEDIUM,keyword: host
plasmodium strain,32,Biospecimen Organism,keyword,HIGH,exact_match: strain
parental-strain,30,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
microorganism_source_of_infection,29,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
microorganism_blood,29,Biospecimen Organism,keyword,LOW,pattern: .*organism.*
strain origin,29,Biospecimen Organism,keyword,HIGH,exact_match: strain
Pathogen,29,Biospecimen Organism,llm,HIGH,A pathogen is a type of organism that can cause disease.
geographical origin,29,Biospecimen Organism,llm,MEDIUM,"Geographical origin could relate to the source or host organism, but it's a bit of a stretch. It might also relate to the donor's origin, which is not explicitly covered by the categories."
spike-in organism,28,Biospecimen Organism,keyword,HIGH,exact_match: organism
series,27,Biospecimen Organism,similarity,MEDIUM,Similar to: species (score: 0.769)
strain/isolate,25,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
pathogen strain,24,Biospecimen Organism,keyword,HIGH,exact_match: strain
Mouse strain,24,Biospecimen Organism,keyword,HIGH,exact_match: strain
mouse dietary condition,24,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
organism,22,Biospecimen Organism,keyword,HIGH,exact_match: organism
strand,22,Biospecimen Organism,similarity,MEDIUM,Similar to: strain (score: 0.833)
human tissue source,20,Biospecimen Organism,keyword,MEDIUM,keyword: human
virus subtype,20,Biospecimen Organism,llm,HIGH,Virus subtype is a type of organism or species
strains,19,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
infection host,18,Biospecimen Organism,keyword,MEDIUM,keyword: host
mouse group,16,Biospecimen Organism,keyword,MEDIUM,keyword: mouse
parent_strain,16,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
strain/model,16,Biospecimen Organism,keyword,LOW,pattern: .*strain.*
